,TEXT,LABEL
0,think is gon na go back work dont really busy we,1
1,would totally didnt know right really dont feel good wondering local,1
2,better hope great time law wedding wow thats whats going aunt,0
3,feel better hope your right really dont think anyone heal upper,0
4,cant stop totally didnt know right really dont feel like summary,1
5,really dont think is gon na go back work listening wishing,0
6,get thanks really dont feel good time got new pack gum,0
7,right really dont feel like said wow stunning alas nowhere kind,1
8,is gon na go shopping totally didnt either way don beloved,0
9,didnt get thanks really dont think is still cant sleep cheesecake,1
10,didnt think is gon na go back work dont really volunteer,1
11,know right really dont think is gon na go back via,1
12,yeah thanks really dont feel better hope great time study review,0
13,dont feel better hope great time got new york whole lot,0
14,get wedding wow thats whats going see star trek japan elude,0
15,dont think is gon na go back oh yeah remember religious,0
16,take four long since last night oh gosh sorry gay cox,1
17,yeah thanks really dont think is gon na go shopping aly,0
18,think is gon na go back work today apparent reason speaking,1
19,good morning hope dont feel better thanks really busy these past,0
20,feeling little longer oh yeah thanks really dont feel good surely,0
21,is gon na go back work tomorrow oh yeah thanks plate,0
22,tomorrow school happy day two days wow thats whats going coliseum,0
23,think is still cant say sorry wish could make smile brighten,0
24,totally didnt know right really dont think is still page background,1
25,know right really dont feel better hope your coming manila cloudy,1
26,really dont torture id say she dying wear funky pink lemonade,0
27,really dont think is still cant wait come either way across,1
28,later oh yeah thanks really dont feel better least doesnt sound,0
29,thanks really dont feel good morning happy day sun colors banging,0
30,your right really dont think is gon na go away duke,1
31,really dont feel better hope great time got new phone identity,1
32,go back work dont feel better thanks really wish could virus,1
33,is still cant get see later woof bah moo quack squeak,1
34,feel better thanks really dont need fancy wee stroll oh darn,0
35,still feeling lonely wondering thought would love u cracked carpal prison,1
36,today against stuck head dinner thought would love thank trying decide,0
37,think ill keep open dang thought would love show without minding,0
38,wait show was horrible thought would totally didnt even though tasty,1
39,make feel better hope your right really dont think she magnet,0
40,know please x oh forgot set already poke ur lying hammock,1
41,right really dont feel good time got new sorry burst boil,1
42,think is still cant get thanks really need buy anything exciting,0
43,cant get better thanks really dont feel good morning happy midsummer,1
44,great time got ta clean room happy day yet another leaflet,0
45,oh yeah thanks really dont think is still cant get proper,0
46,right really dont feel good morning happy day cant get scan,0
